投稿日,URL,PR区分,表示回数,いいね数,リポスト数,返信数,ブックマーク数,投稿概要
2025-09-27 22:18,https://x.com/Veronica_kuma/status/1971927457340314026,PR,3206,100,7,0,2,#PR （@braye_jp ）様から頂きました！ リップスリーク ＆リップスリークミニ  ミニはバックなどにつけると良さそう 高級感のあるパケが素敵💖  04
2025-08-28 16:01,https://x.com/Veronica_kuma/status/1960960875793408009,通常,3637,56,1,1,1,#今日のメイク   今日は沢山メイク褒められたかも( ु ›ω‹ ) ु♡ プチプラ多め🩷  アミューズのファンデ初めて使ったけど 薄く付くのに肌がしっかり綺麗
2025-10-13 17:54,https://x.com/Veronica_kuma/status/1977659103674785910,通常,14314,56,2,1,0,使い切りシャンプー  meltのシャンプー プレキャンで頂いたもの！  香りも泡立ちも良くて量も多く 髪の毛もまとまる感じのシャンプー🫶  洗浄力の私が使った体
2025-10-26 21:41,https://x.com/Veronica_kuma/status/1982427349716189511,PR,1057,53,8,0,0,#PR 秋新作 【BRAYE メルティングリップスイート 08 10】 を頂きました❣️  これ一本で唇もケアして メイクアップ効果で まるで宝石のような唇に💎
2025-08-24 11:01,https://x.com/Veronica_kuma/status/1959435905913217514,通常,1487,50,3,1,0,（@lenssis2 ）様のキャンペーンに当選し  🩶ノイグレー🩶 を頂きました  水光っぽい青コンに近いかな...? 小さめだけどしっかり盛れる❣️  シリコ
2026-05-05 23:12,https://x.com/Veronica_kuma/status/2051666471202501034,PR,1239,48,2,0,0,使い切りとか〜 レチノールはあと2本あるから継続したい！ ぶっちゃけ2ヶ月使ったけどまだA反応が出ている！  MOEVはPRで頂いたもの、敏感肌でも使いやすかっ
2025-04-20 20:03,https://x.com/Veronica_kuma/status/1913911494162498043,通常,1164,47,1,1,0,#今日のメイク  まぶたメイクせず クレンジングも最低限にしたら 顔痒くならずメイクできるのでは？！ の試み2日目！！  今のところ上手くいってます🫶 pic.
2025-07-15 21:00,https://x.com/Veronica_kuma/status/1945091192183496830,PR,3000,47,3,1,0,#PR #リーゼ #LIPSプレゼント  (@lipsjp )様から頂きました！  ブリーチヘア用　アイロン下地セラム　リッチオイルミスト　 を頂きました🎁どち
2025-10-19 14:31,https://x.com/Veronica_kuma/status/1979782551792411133,通常,6183,47,2,1,2,使い切りヘアミルク🍼  オルビスのヘアミルク 無香料でサラサラ軽めの仕上がり！ ストレスなく塗ることができて他のヘアケアと競合しないのがポイントかな！  リピ悩
2025-06-26 23:39,https://x.com/Veronica_kuma/status/1938245754386321609,通常,1112,46,0,3,1,まつパした！ こないだより上手くなった気がする pic.twitter.com/AuMzZjSbsO
